"year_mon","category_name","state_cost","bottles_sold","retail_revenue","liters_sold"
2012-01-01,"PEACH BRANDIES",3787.67,727,5685.14,545.25
2012-01-01,"LOW PROOF VODKA",294.17,23,441.37,17.25
2012-01-01,"TROPICAL FRUIT SCHNAPPS",7018.94,1502,10524.8,1326.75
2012-01-01,"IMPORTED VODKA",650983.49,46984,976501.58,43215.13
2012-01-01,"IMPORTED SCHNAPPS",305963.32,27808,458862.82,26419.98
2012-01-01,"SPEARMINT SCHNAPPS",1517.11,363,2275.75,319.75
2012-01-01,"OTHER PROOF VODKA",2165.7,277,3248.55,207.75
2012-01-01,"CINNAMON SCHNAPPS",32604.02,4531,48924.63,3791.39
2012-01-01,"BLENDED WHISKIES",398947.37,67715,600070.83,67003.3
2012-01-01,"IMPORTED VODKA - MISC",263335.25,22526,395036.92,18280.94
2012-01-01,"PUERTO RICO & VIRGIN ISLANDS RUM",372504.21,55737,558713.3,58941.55
2012-01-01,"STRAIGHT BOURBON WHISKIES",546618.43,54463,823867.76,53327.9
2012-01-01,"PEACH SCHNAPPS",65962.78,10189,98917.67,9335.97
2012-01-01,"TEQUILA",542079.72,51791,813348.85,42997.66
2012-01-01,"BLACKBERRY BRANDIES",46464.64,8463,69829.8,7150.6
2012-01-01,"CREME DE ALMOND",695.51,157,1044.05,117.75
2012-01-01,"WHISKEY LIQUEUR",275200.41,28752,412791.97,24692.58
2012-01-01,"APRICOT BRANDIES",23092.06,5062,34747.46,3402.12
2012-01-01,"SCHNAPPS - IMPORTED",702,60,1052.4,45
2012-01-01,"AMERICAN AMARETTO",36267.2,8749,54408.14,8006
2012-01-01,"AMERICAN ALCOHOL",30443.92,3796,45665.88,2847
2012-01-01,"PEPPERMINT SCHNAPPS",63052.37,14390,94590.26,12682.23
2012-01-01,"RASPBERRY SCHNAPPS",8473.66,1585,12710.68,1352
2012-01-01,"WHITE CREME DE CACAO",3472.05,785,5206.74,588.75
2012-01-01,"IRISH WHISKIES",115669.34,7282,173531.31,6417.46
2012-01-01,"ROCK & RYE",789.52,160,1183.84,120
2012-01-01,"AMERICAN DRY GINS",164411.67,37016,246903.72,28496.46
2012-01-01,"IMPORTED DRY GINS",122133.18,8346,183178.52,7828.46
2012-01-01,"AMERICAN COCKTAILS",247123.89,35344,375718.34,50682.25
2012-01-01,"DISTILLED SPIRITS SPECIALTY",47271.6,9445,70918.28,9261.75
2012-01-01,"FLAVORED GINS",4661,790,6991.5,592.5
2012-01-01,"BUTTERSCOTCH SCHNAPPS",31247.32,5129,46860.25,4255.11
2012-01-01,"GREEN CREME DE MENTHE",3231.81,736,4846.56,549
2012-01-01,"SINGLE BARREL BOURBON WHISKIES",6539.62,372,9809.44,279
2012-01-01,"MISCELLANEOUS  BRANDIES",4290.3,322,6435.14,241.5
2012-01-01,"CANADIAN WHISKIES",1075073.38,126404,1616772.05,129308.9
2012-01-01,"100 PROOF VODKA",69602.62,12326,104432.75,14100.75
2012-01-01,"STRAWBERRY SCHNAPPS",7237.55,1539,10851.05,1154.25
2012-01-01,"JAMAICA RUM",12037.05,1215,18064.2,987.75
2012-01-01,"MISC. IMPORTED CORDIALS & LIQUEURS",439428.21,32769,659053.87,25836.66
2012-01-01,"VODKA FLAVORED",350317.82,48680,527822.32,40698.85
2012-01-01,"AMERICAN GRAPE BRANDIES",157929.45,39683,237611.5,20741.73
2012-01-01,"ROOT BEER SCHNAPPS",11600.03,2095,17405.69,1996.25
2012-01-01,"AMERICAN SLOE GINS",2773.78,646,4160.47,553.75
2012-01-01,"IMPORTED AMARETTO",27116.94,2088,40666.02,1526.66
2012-01-01,"DARK CREME DE CACAO",2415.05,548,3621.88,411
2012-01-01,"VODKA 80 PROOF",1181505.64,234018,1774526.78,238894.72
2012-01-01,"SCOTCH WHISKIES",212924.61,16674,319089.96,18351.56
2012-01-01,"FLAVORED RUM",276223.17,33302,415137,28875.12
2012-01-01,"DECANTERS & SPECIALTY PACKAGES",25123.24,1829,37691.12,2574.76
2012-01-01,"WATERMELON SCHNAPPS",18933.6,2660,28390.04,2513
2012-01-01,"ANISETTE",310.76,68,466.48,51
2012-01-01,"GRAPE SCHNAPPS",21957.6,3088,32924.48,2912
2012-01-01,"MISC. AMERICAN CORDIALS & LIQUEURS",177727.65,19773,266577.84,14379.99
2012-01-01,"APPLE SCHNAPPS",39461.46,5773,59176.21,5152.49
2012-01-01,"SPICED RUM",836076.17,89570,1254903.73,83756.08
2012-01-01,"MISCELLANEOUS SCHNAPPS",19495.67,2608,29238.67,2230.15
2012-01-01,"COFFEE LIQUEURS",93279.27,8318,139952.43,7121.62
2012-01-01,NA,6052.29,281,9079.39,210.75
2012-01-01,"CHERRY BRANDIES",7671.38,1582,11509.2,1091.26
2012-01-01,"BOTTLED IN BOND BOURBON",7330.63,391,11198.05,293.25
2012-01-01,"TENNESSEE WHISKIES",410659.4,30673,615916.84,24629.31
2012-01-01,"TRIPLE SEC",29737.79,11548,44574.26,11287.25
2012-01-01,"CREAM LIQUEURS",261026.58,21793,391519.36,18034.86
2012-01-01,"STRAIGHT RYE WHISKIES",126870.3,7628,190374.18,5472.37
2012-01-01,"BARBADOS RUM",1956,220,2934,165
2012-01-01,"IMPORTED VODKA - CHERRY",84.6,12,126.96,12
2012-01-01,"SINGLE MALT SCOTCH",83198.88,3360,124814.75,2636.74
2012-01-01,"WHITE CREME DE MENTHE",546.12,123,819.18,92.25
2012-01-01,"IMPORTED GRAPE BRANDIES",160677.73,16105,241026.65,7040.82
2012-02-01,"IMPORTED GRAPE BRANDIES",250568.47,25372,375926.81,10588.62
2012-02-01,"AMERICAN COCKTAILS",207249.58,29682,312393.17,43165.71
2012-02-01,"FLAVORED GINS",4832.1,819,7248.15,614.25
2012-02-01,"SINGLE MALT SCOTCH",113695.62,4499,170823.96,3487.26
2012-02-01,"FLAVORED RUM",269641.06,31618,404875.13,27749.41
2012-02-01,"SPICED RUM",982866.5,100373,1474437.99,104045.76
2012-02-01,"IMPORTED VODKA",664926.96,50590,996873.22,47193.42
2012-02-01,"VODKA FLAVORED",345303.37,46467,518567.94,39181.38
2012-02-01,"100 PROOF VODKA",68865.85,12338,103329.44,14163
2012-02-01,"ROCK & RYE",1311.38,266,1965.74,199.5
2012-02-01,"AMERICAN AMARETTO",38527.96,9260,57799.29,8517.75
2012-02-01,"SINGLE BARREL BOURBON WHISKIES",8099.02,454,12148.46,340.5
2012-02-01,"IMPORTED SCHNAPPS",309008.3,27580,463430.19,26250.99
2012-02-01,"SPEARMINT SCHNAPPS",1813.81,433,2720.92,384
2012-02-01,"OTHER PROOF VODKA",1902.12,242,2853.18,181.5
2012-02-01,"PUERTO RICO & VIRGIN ISLANDS RUM",423044.42,61606,639089.45,65419.72
2012-02-01,"WHITE CREME DE MENTHE",754.8,170,1132.2,127.5
2012-02-01,"CREME DE ALMOND",0,103,0,77.25
2012-02-01,"STRAIGHT BOURBON WHISKIES",559672.04,57388,844236.02,55264.34
2012-02-01,"BLENDED WHISKIES",388317.87,64877,582370.89,64455.32
2012-02-01,"PEACH BRANDIES",0,608,0,456
2012-02-01,"CINNAMON SCHNAPPS",30978.24,4183,46456.11,3630.34
2012-02-01,"TRIPLE SEC",32013.39,12602,47982.37,12359.25
2012-02-01,"PEACH SCHNAPPS",60897.59,9617,91324.29,8994.09
2012-02-01,"VODKA 80 PROOF",1210758.16,241805,1820443.85,242171.03
2012-02-01,"MISCELLANEOUS SCHNAPPS",21453.43,2879,32173.62,2515
2012-02-01,"RASPBERRY SCHNAPPS",8094.31,1492,12141.92,1289.5
2012-02-01,"AMERICAN SLOE GINS",284.04,689,426.24,594.5
2012-02-01,"DECANTERS & SPECIALTY PACKAGES",10134.83,557,15224.43,669.74
2012-02-01,"APPLE SCHNAPPS",37735.27,5478,56586.03,4955.52
2012-02-01,"TROPICAL FRUIT SCHNAPPS",7010.48,1520,10512.4,1354.5
2012-02-01,"GRAPE SCHNAPPS",20703.9,2876,31043.54,2772.5
2012-02-01,"COFFEE LIQUEURS",97678.91,9210,148253.02,7731.02
2012-02-01,"CHERRY BRANDIES",1974.04,1597,2961.66,1138.49
2012-02-01,"WHISKEY LIQUEUR",305248.05,32753,457854.27,27388.5
2012-02-01,"TEQUILA",639383.36,60365,959983.64,50087.59
2012-02-01,"DARK CREME DE CACAO",817.28,841,1225.06,633.75
2012-02-01,"JAMAICA RUM",11250.52,1103,16883.03,929.75
2012-02-01,"AMERICAN DRY GINS",181738.74,40959,272674.67,30987.11
2012-02-01,"GREEN CREME DE MENTHE",798.86,572,1197.44,432
2012-02-01,"PEPPERMINT SCHNAPPS",59796.04,14200,89806.99,12848.69
2012-02-01,"BUTTERSCOTCH SCHNAPPS",29106.59,4824,43648.24,4124.05
2012-02-01,"ROOT BEER SCHNAPPS",10296.12,1863,15436.21,1765.75
2012-02-01,"SCOTCH WHISKIES",233240.41,18282,350798.03,20490.65
2012-02-01,"STRAIGHT RYE WHISKIES",132569.24,8228,198928.17,5689.88
2012-02-01,"BARBADOS RUM",4672.98,428,7009.86,322.57
2012-02-01,"APRICOT BRANDIES",8306.73,5015,12466.34,3332.7
