"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-01-01,"vodka","100 proof vodka",89532.65,134381,17400,18476.25
2016-01-01,"liqueur","amaretto - imported",747.12,1120.8,24,18
2016-01-01,"other","american alcohol",22827.42,34242.88,2622,1957.5
2016-01-01,"liqueur","american amaretto",27543.91,41331.6,6430,5934.25
2016-01-01,"cocktail","american cocktails",148183.59,223549.45,21248,32902.29
2016-01-01,"gin","american dry gins",157178.58,236095.01,32394,25510.62
2016-01-01,"brandy","american grape brandies",158889.64,238762.09,39352,19292.72
2016-01-01,"gin","american sloe gins",2966.23,4450.22,466,404.25
2016-01-01,"liqueur","anisette",628.5,943.26,134,100.5
2016-01-01,"schnapps","apple schnapps",24366.95,36551.16,3459,3062.37
2016-01-01,"brandy","apricot brandies",22959.94,34537.64,4711,3177.98
2016-01-01,"rum","barbados rum",7822.69,11734.61,748,561
2016-01-01,"brandy","blackberry brandies",47770.07,71859.5,8278,7131.21
2016-01-01,"whiskey","blended whiskies",409689.94,614607.64,66202,63845.66
2016-01-01,"whiskey","bottled in bond bourbon",8848.55,13274.65,401,300.75
2016-01-01,"schnapps","butterscotch schnapps",22019.52,33032.96,3450,2914.75
2016-01-01,"whiskey","canadian whiskies",1563103.08,2346201.46,170414,165749.44
2016-01-01,"brandy","cherry brandies",6818.31,10227.76,1265,932.61
2016-01-01,"schnapps","cinnamon schnapps",17960.77,26970.73,2357,2080
2016-01-01,"liqueur","coffee liqueurs",98458.95,147722.55,8395,7129.75
2016-01-01,"whiskey","corn whiskies",1777.16,2665.74,154,115.5
2016-01-01,"liqueur","cream liqueurs",309567.6,464435.56,24711,20947.69
2016-01-01,"liqueur","creme de almond",1057.5,1586.31,233,174.75
2016-01-01,"liqueur","dark creme de cacao",2617.25,3928.63,551,413.25
2016-01-01,"other","decanters & specialty packages",74712.21,112835.73,5754,5122.58
2016-01-01,"other","distilled spirits specialty",98015.32,147046.21,13081,12051.12
2016-01-01,"gin","flavored gins",4192.54,6292.04,646,484.5
2016-01-01,"rum","flavored rum",290192.49,435395.76,32420,28590.09
2016-01-01,"schnapps","grape schnapps",15921.9,23882.85,2147,2064
2016-01-01,"liqueur","green creme de menthe",2812.25,4220.53,601,450.75
2016-01-01,"liqueur","imported amaretto",21083.22,31828.83,1613,1158.77
2016-01-01,"gin","imported dry gins",155910.22,233879.22,10358,9734.62
2016-01-01,"brandy","imported grape brandies",289685.75,434622.88,25475,10713.66
2016-01-01,"schnapps","imported schnapps",222533.19,333842.11,20005,18242.35
2016-01-01,"vodka","imported vodka",830907.14,1246611.81,61252,65162.53
2016-01-01,"vodka","imported vodka - misc",326424.32,489731.6,26806,19812.42
2016-01-01,"whiskey","irish whiskies",281768.84,422724.83,16187,14744.5
2016-01-01,"rum","jamaica rum",11119.1,16678.65,982,807.5
2016-01-01,"liqueur","misc. american cordials & liqueurs",110273.44,165428.1,12821,9258.94
2016-01-01,"liqueur","misc. imported cordials & liqueurs",329207.45,493862.46,25051,18725.24
2016-01-01,"brandy","miscellaneous  brandies",4690.41,7036.73,318,200.41
2016-01-01,"schnapps","miscellaneous schnapps",21351.65,32032.19,3837,2374.75
2016-01-01,"vodka","other proof vodka",1614.21,2422.22,181,135.75
2016-01-01,"brandy","peach brandies",14406.23,21613.15,3422,1742.42
