"year_mon","county","county_number","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-01-01,"Adair",1,18838.72,28266.55,2348,2304.97
2016-01-01,"Adams",2,4238.89,6362.56,475,496.69
2016-01-01,"Allamakee",3,32298.8,48475.58,3681,3965.07
2016-01-01,"Appanoose",4,33605.33,50446.38,4250,3941.41
2016-01-01,"Audubon",5,6601.5,9908.69,928,866.87
2016-01-01,"Benton",6,31116.45,46702.91,3737,3774.36
2016-01-01,"Black Hawk",7,738667.52,1108627.23,94336,73494.12
2016-01-01,"Boone",8,76441,114741.8,8975,8964.57
2016-01-01,"Bremer",9,83907.42,125977.11,9840,10963.47
2016-01-01,"Buchanan",10,54889.78,82384.62,6409,5865.63
2016-01-01,"Buena Vista",11,68186.29,102348.62,8048,7255.64
2016-01-01,"Butler",12,13145.74,19730.58,1752,1739.68
2016-01-01,"Calhoun",13,25806.14,38733.01,3234,3114.41
2016-01-01,"Carroll",14,104994.43,157562.36,10948,11335.47
2016-01-01,"Cass",15,62836.58,94289.05,7143,7108.42
2016-01-01,"Cedar",16,26849.61,40303.17,3712,3204.89
2016-01-01,"Cerro Gordo",17,265048.13,397928.4,31224,29731.89
2016-01-01,"Cherokee",18,31163.88,46783.74,4234,3523.27
2016-01-01,"Chickasaw",19,13844.77,20770.47,1505,1751.7
2016-01-01,"Clarke",20,26176.19,39273.25,2724,2883.8
2016-01-01,"Clay",21,66028.61,99088.82,7927,7943.05
2016-01-01,"Clayton",22,31232.48,46867.22,3347,3493.92
2016-01-01,"Clinton",23,146660.02,220117.27,18573,15958.34
2016-01-01,"Crawford",24,44536.07,66840.76,5436,4817.53
2016-01-01,"Dallas",25,209105.11,313846.44,18957,19346.7
2016-01-01,"Davis",26,4184.79,6280.06,542,523.75
2016-01-01,"Decatur",27,8417.75,12643.04,1082,935.23
2016-01-01,"Delaware",28,48081.57,72158.95,5511,5472.06
2016-01-01,"Des Moines",29,165769.28,248781.29,21201,16957.91
2016-01-01,"Dickinson",30,143188.81,214877.77,15673,15950.54
2016-01-01,"Dubuque",31,394177.44,591621.49,42964,40642.51
2016-01-01,"Emmet",32,27707.65,41576.01,3175,3362.75
2016-01-01,"Fayette",33,53369.98,80148.66,7046,6577.74
2016-01-01,"Floyd",34,56208.31,84359.52,6617,6188.84
2016-01-01,"Franklin",35,10714.74,16078.27,1346,1189.46
2016-01-01,"Fremont",36,1735.8,2604.6,270,188.25
2016-01-01,"Greene",37,25123.34,37707.11,2886,2754.6
2016-01-01,"Grundy",38,17259.71,25970.14,2178,2151.46
2016-01-01,"Guthrie",39,12369.25,18578,1562,1412.97
2016-01-01,"Hamilton",40,29555.34,44349.28,3862,3440.33
2016-01-01,"Hancock",41,12946.9,19436.56,1763,1808.99
2016-01-01,"Hardin",42,83119.53,124775.04,9227,10013.67
2016-01-01,"Harrison",43,17345.93,26043.55,2447,2007.49
2016-01-01,"Henry",44,48196.41,72327.11,5582,4866.16
2016-01-01,"Howard",45,25575.89,38404.59,2765,3207.55
2016-01-01,"Humboldt",46,25729.68,38620.15,3330,3046.99
2016-01-01,"Ida",47,25460.73,38208.34,2752,2765.95
2016-01-01,"Iowa",48,41363.88,62107.15,5093,5161.4
2016-01-01,"Jackson",49,61020.23,91573.27,7109,6910.05
2016-01-01,"Jasper",50,78705.71,118153.36,10208,9493.41
2016-01-01,"Jefferson",51,45291.31,67968.48,5526,5192.99
2016-01-01,"Johnson",52,733895.13,1101713.22,80214,71140.12
2016-01-01,"Jones",53,40417.3,60679.37,4580,4735.32
2016-01-01,"Keokuk",54,7233.9,10855.96,1003,941.71
2016-01-01,"Kossuth",55,73576.77,110441.75,8520,8739.77
2016-01-01,"Lee",56,155496.94,233310.07,17735,15475.68
2016-01-01,"Linn",57,1193986.77,1791815.97,138948,120033.22
2016-01-01,"Louisa",58,11590.57,17390.57,2109,1184.41
2016-01-01,"Lucas",59,18900.15,28390.48,2292,2163.54
2016-01-01,"Lyon",60,36487.99,54785.99,4149,4187.54
2016-01-01,"Madison",61,31867.99,47827.84,3813,3899.76
2016-01-01,"Mahaska",62,42555.53,63871.76,5372,5130.24
2016-01-01,"Marion",63,70771.51,106211.36,8549,8057.86
2016-01-01,"Marshall",64,144388.59,216706.89,16426,15068.72
2016-01-01,"Mills",65,22639.06,33974.01,2938,2549.58
2016-01-01,"Mitchell",66,20916.57,31403.58,2511,2637.03
2016-01-01,"Monona",67,28118.65,42197.66,3615,3053.08
2016-01-01,"Monroe",68,11369.52,17063.83,1377,1347.21
2016-01-01,"Montgomery",69,29924.02,44911.43,3740,3373.63
2016-01-01,"Muscatine",70,144688.84,217143.51,16880,15975.27
2016-01-01,"O'Brien",71,50909.94,76419.39,5999,6296.61
2016-01-01,"Osceola",72,12234.44,18360.99,1424,1472.36
2016-01-01,"Page",73,37808.63,56739.17,4529,4409.24
2016-01-01,"Palo Alto",74,30424.74,45654.03,3508,3646.98
2016-01-01,"Plymouth",75,69476.05,104289.93,7741,7868.95
2016-01-01,"Pocahontas",76,19493.44,29256.48,2319,2426.71
2016-01-01,"Polk",77,2785201.94,4179845.78,315167,265145.6
2016-01-01,"Pottawattamie",78,459896.81,690155.83,54032,45193.39
2016-01-01,"Poweshiek",79,56632.8,84985.55,6435,6022.45
2016-01-01,"Ringgold",80,8799.73,13248.12,1114,1080.5
2016-01-01,"Sac",81,25531.94,38313.5,3011,3161.55
2016-01-01,"Scott",82,892563.42,1339439.97,106444,85791.01
2016-01-01,"Shelby",83,28799.28,43210.15,3665,3281.18
2016-01-01,"Sioux",84,61695.74,92619.53,6555,7037.24
2016-01-01,"Story",85,414413.52,622221.43,44863,42642.42
2016-01-01,"Tama",86,27859.63,41805,3654,3252.84
2016-01-01,"Taylor",87,8519.97,12786.53,1135,878
2016-01-01,"Union",88,48780.26,73201.85,5301,5264.09
2016-01-01,"Van Buren",89,10980.78,16476.93,1257,1137.95
2016-01-01,"Wapello",90,109328.22,164069.29,13723,11625.05
2016-01-01,"Warren",91,94181.21,141362.92,11433,10835.22
2016-01-01,"Washington",92,67347.94,101068.61,8245,7078.32
2016-01-01,"Wayne",93,6027.41,9068.21,756,697.02
2016-01-01,"Webster",94,155893.48,233991.12,19243,16439.67
2016-01-01,"Winnebago",95,33249.81,49921.61,4151,4081.33
2016-01-01,"Winneshiek",96,56186.32,84344.2,6368,6569.13
2016-01-01,"Woodbury",97,489334.19,734491.26,55660,46930.68
2016-01-01,"Worth",98,12755.1,19144.94,1667,1639.35
2016-01-01,"Wright",99,28980.8,43484.59,3567,3314.94
2016-02-01,"Adair",1,27102.27,40811.12,3347,3300.25
2016-02-01,"Adams",2,4336.7,6518.86,556,494.37
2016-02-01,"Allamakee",3,38315.66,57804.08,4493,5109.74
2016-02-01,"Appanoose",4,36163.32,54435.54,4862,4414.44
2016-02-01,"Audubon",5,10394.93,15653.6,1425,1493
2016-02-01,"Benton",6,46821.85,70797.19,5404,6409.83
2016-02-01,"Black Hawk",7,890703.46,1339487.46,112478,96194.46
2016-02-01,"Boone",8,96147.09,145128.44,10903,12098.21
2016-02-01,"Bremer",9,84103.36,126834.02,8821,10356.47
2016-02-01,"Buchanan",10,80415.37,121199.37,9103,9699.45
2016-02-01,"Buena Vista",11,99960.38,150830.77,11114,11631.32
2016-02-01,"Butler",12,17691.47,26666.49,2252,2530.92
2016-02-01,"Calhoun",13,16319.58,24563.88,2034,2073.02
2016-02-01,"Carroll",14,112624.51,169505.57,11594,12873.35
